 ”,w
贝尔法斯特,ns
贝尔格莱德,ns
贝尔曼,nr
贝方,n
贝佛莉,nr
贝福荣,nr
贝京,nr
贝克特,nr
贝老,nr
贝勒金台石,nr
贝类,n
贝里,nr
贝里沙,nr
贝鲁特,nr,ns
贝内特,nr
贝宁,ns
贝宁共和国,ns
贝桑松,ns
贝塔,nz
倍,d,q
倍感,v
倍受,v
倍增,v,vn
备,v,Dg,nr
备案,v,vn
备查,v
备份,n
备付金,n
备感,v
备耕,v,vn
备荒,v
备降,vn
备考,n
备料,vn
备齐,v
备受,v
备忘录,n
备要,n
备用,vn
备灾,vn
备战,v,vn
备种,v
备注,n
备足,v
被,p,Ng
被捕,v,vn
被盗,vn,v
被盗案,n
被动,ad,a,an
被俘,vn
被告,n
被告人,n
被告席,n
被管理者,n
被害人,n
被害者,n
被叫,v
被迫,d
被窃,v
被褥,n
被特许者,n
被窝,n
被选举权,l
被选举者,n
被冤枉者,n
被占,vn
被占领土,n
被子,n
奔,v,p,Vg
奔波,v
奔波如梭,i
奔驰,v,nz,vn
奔放,z
奔赴,v
奔流,v
奔跑,v
奔丧,v
奔腾,v,nz
奔头,n
奔突,v
奔泻,v
奔涌,v
奔月,v
奔走,v
奔走呼号,i
奔走相告,i
本,d,q,r,n
本·阿格尔,nr
本·阿里,nr
本·贾马,nr
本·赛卡角,ns
本案,r
本版,r
本报,r
本本,n
本币,n
本草纲目,nz
本昌,nr
本场,r
本楚,nr
本次,r
本村,r
本党,r
本地,r
本地化,v
本队,r
本法,r
本方,r
本分,n
本该,d
本钢,n
本港,r
本固枝荣,i
本国,r
本辑,r
本级,r
本洁,nr
本届,r
本金,nr,n
本剧,r
本科,n
本科班,n
本奎,nr
本来,d,b
本来面目,i
本栏,r
本理,nr
本领,n
本轮,r
本命年,n
本末,n
本能,n
本年,t
本鹏,nr
本片,r
本期,r
本钱,n
本区,r
本人,r
本赛,r
本色,n
本山,nr
本社,r
本身,r
本省,r
本世纪,t
本事,n
本市,r
本书,r
本棠,nr
本体,n
本田,nz
本条,r
本土,n
本外币,j
本文,r
本西德,nr
本息,n
本溪,ns
本溪市,ns
本县,r
本乡,r
本校,r
本行,n
本意,n
本原,n
本园,r
本院,r
本月,t
本月底,t
本斋,nr
本镇,r
本职,n
本职工作,n
本质,n
本质论,n
本忠,nr
本周,t
本周末,t
本州,r
本专科,j
本专科生,j
本着,p
本子,n
本族,r
本瑜,nr
笨,a
笨重,a
笨拙,a
崩溃,v,vn
崩裂,v
绷,v
甭,v
甭管,c
泵,n
泵业,n
泵站,n
蹦,v
蹦蹦,v
蹦蹦跳跳,v
蹦床,n
迸发,v
逼,v
逼供,v,vn
逼和,v
逼近,v
逼良为娼,l
逼真,a
逼仄,an
鼻,Ng
鼻舒丹,nz
鼻息,n
鼻炎,n
鼻翼,n
鼻子,n
鼻窦炎,n
比,p,v,n,j
比昂尼克,nr
比比皆是,i
比不上,l
比额,n
比尔·盖茨,nr
比方,v
比分,n
比格尼斯,nr
比划,v
比价,n
比较,v,d,vn,p
比阔气,l
比勒陀利亚,ns
比利时,ns
比利时王国,ns
比例,n
比例表,n
比率,n
比目鱼,n
比拟,v
比起,v
比如,v
比如说,l
比萨,ns
比萨饼,n
比赛,vn,v
比赛服,n
比什凯克,nr
比试,v
比索,n,q
比下有余,i]i
比学,nr
比翼齐飞,i
比喻,n,v
比照,v
比重,n
比作,v
笔,q,n
笔触,n
笔端,n
笔耕,v
笔耕不辍,l
笔耕墨耘,l
笔画,n
笔记,n
笔记本,n
笔架,n
笔简意深,i
笔录,n
笔名,n
笔墨,n
笔墨官司,i
笔墨纸砚,n
笔试,n
笔手,n
笔谈,vn,v
笔下,n
笔芯,n
笔油,n
笔者,n
笔直,z
彼,r
彼岸,n
彼比,nr
彼此,r
彼得,nr
彼得·罗曼,nr
彼特·加纳维奇,nr
碧,Ng
碧波,n
碧波万顷,l
碧草,n
碧池,n
碧海,n
碧空,n
碧蓝,z
碧莲,nr
碧绿,z
碧绿如茵,l
碧泉,nr
碧蓉,nr
碧水,n
碧幽幽,z
碧云里,ns
碧云天,n
碧竹,nr
碧璇,nr
蔽,Vg
毕,Vg,nr
毕格斯,nr
毕竟,d
毕生,b,d
毕业,v,vn
毕业生,n
毙命,v
币,Ng
币面,n
币值,n
庇护,v
庇护所,n
痹,Ng
痹论,n
痹症,n
闭,v
闭关自守,i
闭合,v,vn
闭卷,vn,v
闭路电视,n
闭门羹,n
闭幕,v,vn
闭幕会,n
闭幕式,n
闭目,vd
闭目养神,l
闭塞,v,a
闭月羞花,i
弊,Ng
弊病,n
弊端,n
弊害,n
必,d
必败,v
必备,vn,v
必不可少,l
必达,nr
必定,d
必读,v
必坚,nr
必将,d
必经,v,vn
必然,n,d,b
必然性,n
必胜,v
必武,nr
必先利其器,i]i
必修,vn
必修课,n
必需,v
必需品,n
必须,d
必要,a,an
必要条件,l
必要性,n
必业,nr
必由之路,i
必娣,nr
辟,v
壁,Ng
壁橱,n
壁画,n
壁垒,n
壁球,n
壁室,n
壁毯,n
壁纸,n
壁龛,n
臂,Ng
臂膀,n
臂弯,n
臂腕,n
避,v
避开,v
避雷,vn
避雷器,n
避雷线,n
避免,v
避难,vn,v
避难权,n
避让,v
避暑,v
避险,v
避孕,vn,v
避孕片,n
避孕套,n
避孕丸,n
避孕药,n
避孕针,n
陛下,n
鞭,Ng
鞭策,vn,v
鞭花,n
鞭炮,n
鞭炮声,n
鞭炮瘾,n
鞭挞,v
鞭子,n
边,d,n,nr,j
边巴,nr
边城,n
边防,n
边防队,n
边防局,n]nt
边防军,n
边防团,n
边防线,n
边防站,n,n]nt
边花闲草,l
边际,n
边疆,s
边界,n
边境,s
边贸,n
边民,n
边区,s,s]ns
边上,f
边线,n
边沿,f
边缘,n
边缘性,n
边远,b
边寨,n
边纵,n
边陲,s
编,v,j
编采播,j
编成,v
编创人员,n
编导,n
编导家,n
编导演,j
编导者,n
编读,j
编队,n,v
编号,v
编后,n
编辑,vn,n,v
编辑部,n,n]nt
编辑家,n
编辑组,n
编剧,v,n
编码,n,vn
编内,n,b
编年体,n
编排,v,vn
编入,v
编审,n,v
编图者,n
编外,b
编委会,j]nt
编写,v
编选,v
编选者,n
编印,v
编余,a
编造,v
编者,n
编者按,n
编织,vn,v
编织厂,n]nt
编织袋,n
编制,n,vn,v
编著,v
编撰,v
编撰者,n
编组,n,vn
编组站,n
编纂,v,vn
贬,v
贬褒,v
贬低,v
贬幅,n
贬值,vn,v
扁担,n
扁桃体,n
扁鱼,n
便,d,Ng,Ag
便当,a
便道,n
便捷,a
便利,vn,a,an,v
便利店,n
便民,v
便民化,v
便士,n,q
便条,n
便携式,b
便衣,n
便宜,a,v,an
便于,v
便装,n
变,v,vn
变本加厉,i
变成,v
变电,vn
变电器,n
变电站,n
变动,v,vn
变废为宝,l
变革,vn,v
变更,v
变更关,n
变故,n
变化,vn,v
变化多端,i
变化图,n
变化万端,l
变化无常,i
变化有致,l
变换,v
变幻,v
变幻莫测,i
变价,v
变例,n
变量,n
变卖,v
变迁,vn,v
变色龙,n
变数,n
变态,n
变态反应,l
变通,vn
变为,v
变线,v
变相,v,vd
变形,v
变性,vn
变压器,n
变压器厂,n]nt
变样,v
变易,vn
变异,n,v
变异型,n
变质,vn,v
卞,nr
辨,Vg
辨认,v
辨识,v
辨析,v
辩,Vg
辩驳,v
辩护,v
辩护律师,l
辩护人,n
辩解,vn,v
辩论,v,vn
辩论会,n
辩证,vn,v
辩证法,n
辩证法观,n
辩证唯物论者,n
辩证唯物主义,n
辩证唯物主义者,n
辫子,n
遍,v,q
遍布,v
遍采,v
遍地,vd,v
遍地开花,i
遍访,v
遍及,v
遍野,v
标,Ng,v,nr
标榜,v
标本,n
标本兼治,l
标本室,n
标兵,n
标尺,n
标出,v
标的,n
标底,n
标点,n
标点符号,n
标杆,n
标号,n
标记,n,v
标价,n,v,vn
标价牌,n
标晶,nr
标明,v,vn
标牌,n
标签,n
标签机,n
标石,n
标识,n
标识物,n
标题,n
标新立异,i
标语,n
标语牌,n
标值,n
标志,v,n,vn
标志牌,n
标志物,n
标志性,n
标致,a,nz
标注,v
标桩,n
标准,n,a
标准分,n
标准化,v,vn
标准价,n
标准舞,n
标准箱,n
标准音,n
彪,nr
彪炳,z
膘,Ng
膘肥体壮,l
表,n,Vg
表层,n
表达,v,vn
表弟,n
表格,n
表决,vn,v
表里,n
表露,vn
表率,n
表妹,n
表面,n
表面层,n
表面化,v
表面文章,i
表明,v,vn
表皮,n
表情,n
表示,v,vn
表述,vn,v
表态,v,vn
表头,n
表现,v,vn
表现力,n
表现性,n
表象,n
表演,v,vn
表演场,n
表演队,n,n]nt
表演机,n
表演赛,n
表演史,n
表演艺术家,n
表演者,n
表扬,v,vn
表扬电,n
表扬稿,n
表扬信,n
表彰,v,vn
表彰会,n
表征,v
鳖,n
鳖精,n
憋,v
憋足劲,l
别,d,v,nr,r
别出心裁,i
别处,r
别的,r
别国,r
别具匠心,i
别具一格,i
别开生面,i
别克,nz
别克木哈买提·木沙,nr
别内河,ns
别妻离子,l
别情,n
别人,r
别墅,n
别墅区,n
别提,v
别无选择,l
别样,r
别有用心,i
别致,a
瘪,a
彬,nr
斌,nr
斌城,nr
斌成,nr
斌庆,nr
濒临,v
濒危,vn,v
濒危种,n
滨,Ng,nr
滨海,n,ns
滨湖,n
滨江,ns,nz
滨江路,ns
滨娜,nr
滨声,nr
滨州,ns
宾,nr
宾馆,n,n]ns,n]nt
宾客,n
宾朋,n
宾至如归,i
宾主,n
兵,n,nr
兵法,n,n]nz
兵荒马乱,i
兵机策,n
兵家,n
兵力,n
兵临,v
兵临城下,i
兵马俑,n
兵器,n
兵刃,n
兵戎相见,i
兵圣,n
兵书,n
兵团,n
兵味,n
兵学,n
兵站,n
兵站部,n]nt
兵种,n
兵卒,n
冰,n,nr,v
冰暴,n
冰冰,nr
冰层,n
冰场,n,n]ns
冰城,ns
冰川,n
冰川学,n
冰灯,n
冰灯展,n
冰点,n
冰雕,n
冰冻,v
冰毒,n
冰峰雪岭,n
冰风暴,n
冰盖,n
冰挂,n
冰棍,n
冰棍儿,n
冰壶,n
冰晶,n
冰块,n
冰棱,n
冰冷,z
冰粒,n
冰凉,z
冰凌,n
冰溜,n
冰面,n
冰清玉洁,i
冰球,n
冰球界,n
冰球赛,n
冰球史,n
冰区,n
冰山,n
冰笋,n
冰台,n
冰坛,n
冰糖,n
冰糖葫芦,l
冰天雪地,i
冰箱,n
冰芯,n
冰心,nr
冰熊,nz
冰雪,n
冰雪节,n
冰雪界,n
冰雪期,n
冰岩,nr
冰雨,n
冰淇淋,n
柄,Ng
柄仁,nr
丙华,nr
丙乾,nr
丙烷,n
丙午,nr
秉笔,v
秉笔直书,i
秉忱,nr
秉承,v
秉德,nr
秉公,d
秉广,nr
秉贵,nr
秉国,nr
秉借,v
秉钧,nr
秉明,nr
秉锐,nr
秉顺,nr
秉松,nr
秉文,nr
秉义,nr
饼,n
饼干,n
饼子,n
炳,nr
炳华,nr
炳坤,nr
炳良,nr
炳强,nr
炳权,nr
炳森,nr
炳生,nr
炳松,nr
炳文,nr
炳湘,nr
炳耀,nr
炳银,nr
炳忠,nr
炳禧,nr
病,n,v
病变,vn
病残,n
病虫害,n
病床,n
病倒,v
病毒,n
病房,n
病根,n
病故,v
病害,n
病假,n
病假条,n
病菌,n
病理,n
病例,n
病魔,n
病情,n
病人,n
病史,n
病逝,v
病态,n
病危,v
病休,v
病因,n
病原,n
病员,n
病灶,n
病症,n
病榻,n
并,d,c,v
并处,v
并存,v,vn
并发,v
并发症,n
并非,v
并非如此,l
并非易事,l
并购,vn,v
并购案,n
并购额,n
并轨,v,vn
并驾齐驱,i
并肩,d
并肩作战,l
并进,v
并举,v
并列,v,vn
并且,c
并入,v
并网,v
并网发电,l
并未,d
并线,v
并行,v
并用,v
并重,v
玻利瓦尔,q
玻利维亚,ns
玻璃,n
玻璃板,n
玻璃窗,n
玻璃钢,n
玻璃缸,n
玻璃瓶,n
玻璃墙,n
玻纤,j
菠菜,n
菠萝,n
播,v
播报,v
播出,v,vn
播放,v,vn
播讲,v
播音,vn
播音员,n
播映,v
播种,v,vn
播种机,n
拨,v
拨打,v
拨贷款,n
拨动,v
拨发,v
拨付,v,vn
拨给,v
拨号,v
拨开,v
拨款,v
拨乱反正,i
拨通,v
拨弦,n
钵,Ng
波,j,nr,n
波波夫,nr
波波卡特佩特,ns
波长,n
波川,nr
波动,vn,n,v
波段,n
波恩,ns
波恩市,ns
波尔,nr
波尔多,ns
波尔卡,nz
波分,vn
波峰,n
波光,n
波光云影,l
波海,j
波黑,ns
波及,v,vn
波剑,nz
波兰,ns
波澜,n
波澜壮阔,i
波浪,n
波流固村,ns
波罗的海,ns
波尼拉,nr
波屏,nr
波士顿,ns
波斯虎,n
波司登,nz
波苏瓦柳克,nr
波涛,n
波特,nr
波图格萨州,ns
波兴浪涌,l
波音,nz,b
波音７０７,nz
波音７３７,nz
波音７３７—３００型,nz
波音７３７—８００型,nz
波音７４７,nz
波音７５７,nz
波音７６７,nz
波音７７７,nz
波音Ｂ—７７７,nz
波音ＭＤ—９０,nz
波折,n
博爱,n,nz
博爱县,ns
博采,v
博茨瓦纳,ns
博大,a,an
博大精深,i
博大胸怀,l
博大胸襟,l
博导,j
博得,v
博华,nr
博卡萨,nr
博览,v,vn
博览会,n,n]nz
博理,nr
博力,nz
博敏,nr
博奈丽,nr
博士,n
博士后,n
博士生,n
博顺,nr
博斯科夫斯基,nr
博塔,nr
博文,nr
博物馆,n,n]ns
博学,nr
博雅,a
博亚,nr
博弈论,n
勃勃,z
勃勃生机,l
勃长期,n
勃发,v
勃发生机,l
勃兰特,nr
勃朗宁,nz
勃李乡,ns
勃然,z
勃舒,nr
勃兴,v,nr,vn
搏,Vg
搏冰斗雪,l
搏斗,vn,v
搏击,v
搏杀,v,vn
伯伯,n
伯承,nr
伯纯,nr
伯恩施坦,nr
伯尔萨,ns
伯芳,nr
伯根,nr
伯海,nr
伯华,nr
伯慧,nr
伯杰,nr
伯驹,nr
伯康,nr
伯利恒,ns
伯龙,nr
伯伦,nr
伯明,nr
伯南布哥,ns
伯齐,nr
伯勤,nr
伯渠,nr
伯儒,nr
伯瑞恩,nr
伯塞达市,ns
伯塞斯库,nr
伯涛,nr
伯文,nr
伯先,nr
伯响,nr
伯勇,nr
伯源,nr
伯赞,nr
伯瑾,nr
伯韬,nr
脖子,n
渤海,ns
渤海湾,ns
泊,Vg
泊南村,ns
泊位,n
泊溪,nr
驳斥,vn
驳回,v
捕,v
捕获,v
捕获量,n
捕捞,v,vn
捕食,v
捕鱼,vn,v
捕捉,v
卜,Vg,nr
哺,Vg
哺乳动物,l
哺乳类,n
哺乳期,t
哺养,v
哺育,v,vn
补,v
补白,n
补补,v
补偿,vn,v
补偿费,n
补充,v,vn
补发,v
补给,vn
补焊,vn
补集,n
补交,v
补缴,v
补救,vn,v
补考,v
补课,v,vn
补缺,v
补税,v
补贴,v,vn,n
补贴款,n
补习,v
补修,vn
补益,vn
补征,v
补助,vn,v,n
补助费,n
补助金,n
补足,v
不,d
不安,a,an
不必,d
不便,a,ad,an
不成,y
不辞劳苦,i
不辞辛苦,i
不辞辛劳,l
不错,a
不大,d
不大不小,l
不单,c
不但,c
不当,a
不道德,a
不得,v
不得不,d
不得而知,l
不得了,l
不得人心,i
不得要领,i
不得已,a
不得已而为之,l
不等,v
不定,d
不懂装懂,i
不动产,n
不动产业,n
不独,c
不断,d
不对,a
不乏,v
不乏其人,i
不法,b
不法分子,n
不凡,z,nr
不妨,v
不菲,a
不分上下,l
不符,v
不符合条件者,n
不服,v
不复存在,l
不甘,vn
不甘落后,l
不甘示弱,i
不敢当,l
不公,a,an
不苟且,a
不够,a
不顾,v
不顾一切,i
不管,c
不管部长,n
不管三七二十一,l
不管怎样,l
不光,c,d
不规则,a
不过,d,c
不好,a
不好过,a
不好意思,a
不和,a
不合,v
不合格率,n
不合格者,n
不合时宜,i
不惑之年,i
不及,v
不济,a
不计其数,i
不见,v
不见得,d
不竭,a
不结盟,vn,v
不解,v
不解之缘,i
不仅,c
不仅仅,d
不仅如此,l
不进则退,l
不禁,d
不尽,d,b
不尽然,l
不景气,a
不久,m
不久前,t
不久以后,l
不拘,v
不拘小节,i
不拘一格,i
不觉,d
不绝于耳,l
不堪,v
不堪回首,i
不堪设想,i
不堪重负,l
不可,v
不可避免,l
不可不,d
不可动摇,i
不可分割,l
不可估量,l
不可或缺,l
不可开交,i
不可抗力,l
不可靠性,n
不可名状,i
不可磨灭,i
不可逆转,i
不可偏废,i
不可胜数,i
不可思议,i
不可限量,i
不可言传,l
不可一日无此君,i
不可一世,i
不可逾越,i
不快,a
不愧,d
不愧为,v
不愧于,v
不赖,a
不理,v
不利,a
不力,a
不良,a
不了了之,i
不料,d
不吝,v
不灵,a
不论,c
不落窠臼,i
不买账,l
不满,an,a
不满足感,n
不眠之夜,l
不免,d
不妙,a
不明,v,vn
不谋而同,i
不耐烦,a
不难,d
不能不,d
不能自拔,i
不能自己,i
不怕,v
不怕牺牲,l
不配,a
不平,a
不平衡性,n
不期而遇,i
不起眼,a
不巧,d
不切实际,l
不屈,v
不确定性,n
不然,c,a
不忍,v
不容,v
不容忽视,l
不容乐观,l
不容置疑,i
不如,v,c
不如说,c
不如意事常八九,i
不辱使命,i
不三不四,i
不善,a
不尚空谈,l
不少,m
不慎,d
不声不响,i
不省人事,i
不胜,v
不胜枚举,i
不失时机,l
不失时宜,l
不失为,v
不时,d
不识时变,i
不是,c,v
不衰,v
不说,c
不思进取,l
不俗,a
不索何获,l
不通,a
不同,an,a
不同点,n
不同凡响,i
不同寻常,i
不图,v
不妥,a
不外,v
不外乎,v
不为人知,l
不畏,v
不稳定性,n
不无,v
不无道理,l
不无关系,l
不息,v
不惜,v
不相上下,i
不祥,z
不详,v
不孝,a,an
不孝之子,l
不懈,z
不懈努力,l
不屑一顾,i
不信任案,n
不信任感,n
不行,a
不幸,n,a,ad
不幸者,n
不休,v
不朽,z
不锈钢,n
不虚此行,i
不许,d
不严,a
不言而喻,i
不厌其烦,i
不要,d
不要紧,l
不夜城,n
不一,v
不一而足,i
不一会儿,l
不依,v
不依不饶,i
不遗余力,i
不宜,v
不已,v
不以为然,i
不易,an,a,ad
不亦乐乎,i
不用,d
不由,d
不由得,d
不由自主,i
不予,v
不语,v
不育症,n
不预则废,i]i
不远处,s
不约而同,i
不悦,a
不孕,v
不再,d
不在乎,v
不在话下,i
不在少数,l
不择手段,i
不怎么,l
不曾,d
不战而胜,l
不折不扣,i
不正之风,i
不知,v
不知不觉,i
不知凡几,i
不知今夕何夕,l
不知去向,i
不知所措,i
不知所云,i
不值一提,l
不止,v
不只,c
不至于,d
不致,d
不致于,v
不住,d
不准,v
不足,a,v,an,vn
不足以,v
不谙,v
不啻,d,v
不徇私情,i
不胫而走,i
不羁,z
布,nr,Vg,n,j
布场古,nr
布厂,n,n]nt
布达拉宫,ns
布达佩斯,ns
布道台,n
布点,v
布丁,n
布尔吉斯,nz
布尔加克,nr
布尔诺,ns
布费,nr
布告栏,n
布光,vn
布赫,nr
布吉镇,ns
布加勒斯特,ns
布加勒斯特市,ns
布景,n
布局,n,v,vn
布拉德利·谢弗,nr
布拉格,ns
布拉格宫,ns
布拉威,nr
布拉藻斯卡斯,nr
布莱尔,nr
布莱科尔,nr
布莱克,nr
布莱克·克莱,nr
布朗,nr
布朗特,nr
布朗族,nz
布老虎,n
布里斯班,ns
布里斯班市,ns
布里坦,nr
布里特,ns
布料,n
布林卡特,nr
布龙,nr
布隆迪,ns
布鲁克,nr
布鲁克内尔,nr
布鲁塞尔,ns
布罗特比,ns
布马扎,nr
布满,v
布帽,n
布篷,n
布匹,n
布片,n
布洒,v
布设,v
布施,vn
布施直人,nr
布什,nr
布条,n
布头,n
布拖县,ns
布娃娃,n
布线,vn,v
布依族,nz
布宜诺斯艾利斯,ns
布约亚,nr
布寨,nr
布展,vn
布置,v,vn
步,q,v,n,nr
步兵,n
步兵团,n
步步,q
步步高,nz
步长,nz,nr
步调一致,i
步伐,n
步飞,nr
步履,n
步履艰难,l
步履维艰,i
步枪,n
步青,nr
步入,v
步行,v
步行街,n
步云,nr
步洲,nr
步骤,n
步子,n
簿子,n
部,q,n,n]nt
部长,n
部长会议,n
部长级,b
部党组,n
部队,n,n]nt
部分,m,n
部级,b
部际,n
部件,n
部落,n
部门,n
部省级,b
部手机,n
部署,vn,v
部属,n
部头,n
部委,j
部位,n
部下,n
部族,n
擦,v
擦肩而过,l
猜,v
猜猜,v
猜测,vn
猜先,v
猜想,vn]nz
猜疑,vn
裁,v
裁边,vn
裁定,vn,v
裁定书,n
裁缝,n
裁剪,v
裁减,v
裁决,vn,v
裁军,vn,v
裁判,n,v
裁判员,n
裁员,v
材,Ng
材料,n
材料部,n
材料厂,n,n]nt
材料费,n
材料科学,n
材料库,n
材质,n
才,d,c,nr,n
才春,nr
才旦,nr
才旦卓玛,nr
才干,n
才华,n
才华横溢,i
才基,nr
才力,n
才能,v,n
才情,n
才荣,nr
才寿,nr
才旺多吉,nr
才宇,nr
才源,n,nr
才智,n
才玑,nr
财,n
财产,n
财产权,n
财产险,n
财长,n
财大气粗,i
财富,n
财会,n
财金,j
财金队,nt]nt
财经,n
财经类,n
财力,n
财路,n
财贸办,j
财权,n
财神,n
财神庙,n
财税,n,j
财团,n]nt,n
财委会,j
财物,n
财务,n
财务局,n]nt
财务司,n]nt
财校,j]nt
财宣,nr
财源,nr,n
财章,nr
财政,n
财政部,nt,n,n]nt
财政部长,n
财政局,n]nt,n
财政司,n
财政所,n
财政厅,n]nt
财政危机,l
财政性,n
财政学,n
踩,v
踩踩,v
踩踏,vn
采,v
采编,vn
采茶,v
采茶戏团,n
采蒂涅,ns
采栋,nr
采伐,v,vn
采访,v,vn
采访服,n
采访团,n
采风,v,vn
采风团,n
采购,v,vn
采购员,n
采光,v
采集,v,vn
采掘,vn,v
采卡,nr
采矿,vn,v
采矿点,n
采莲调,n
采莲歌,n
采煤,vn,v
采纳,v
采气,vn
采区,n
采取,v
采桑子,nz
采石,vn
采收率,n
采写,v
采样,v
采药,v
采药人,n
采用,v,vn
采油,v,vn
采油厂,n
采油工,n
采油井,n
采摘,v,vn
采撷,v
彩,Ng
彩板型,b
彩报,n
彩笔,n
彩布条,n
彩船,n
彩带,n
彩灯,n
彩电,n
彩蝶飞舞,l
彩虹,n,nz
彩虹灯,n
彩虹门,n
彩虹厅,n
彩蝴蝶,n
彩花,n
彩花灯,n
彩绘,n
彩玲,nr
彩蘑,n
彩墨画,n
彩木,nr
彩排,v,vn
彩票,n
彩旗,n
彩旗猎猎,l
彩琴,nr
彩球,n
彩色,b
彩饰,n
彩图,n
彩团,n
彩霞,nr
彩阳,nr
彩印厂,n
彩釉,n
彩云,n
彩云飞,l
彩照,n
彩纸,n
菜,n
菜单,n
菜刀,n
菜地,n
菜根谭,nz
菜馆,n
菜花,n
菜价,n
菜篮子,n
菜料,n
菜牛,n
菜农,n
菜谱,n
菜市场,n,n]ns
菜蔬,n
菜田,n
菜心,n
菜羊,n
菜园,n
菜园子,n
菜子,n
菜肴,n
蔡,nr
蔡冲,nz
蔡坂,ns
餐,Vg,q,Ng
餐费,n
餐费票,n
餐风宿雪,l
餐馆,n
餐会,n
餐具,n
餐食,n
餐厅,n,n]nt
餐椅,n
餐饮,n
餐饮业,n
餐桌,n
参,j,nr
参差不齐,i
参股,v,vn
参观,v,vn
参观记,n
参观团,n
参观者,n
参会者,n
参加,v,vn
参加者,n
参建,vn,v
参军,v
参考,vn,v
参考价,n
参谋,n
参谋长,n
参评,v
参茸,n
参赛,v,vn
参赛队,n
参赛者,n
参赛证,n
参事,n
参数,n
参天大树,n
参选,v
参议员,n
参议院,n]nt,n
参与,v,vn
参与感,n
参与者,n
参院,j
参赞,n
参展,vn,v
参战,v,vn
参照,v,vn
参照系,n
参政,vn
参政党,n
参政议政,l
参众两院,j
蚕,n
蚕豆,n
蚕茧,n
蚕食,v
残,a
残废,vn
残骸,n
残害,v
残害女童者,n
残疾,n
残疾人,n
残局,n
残酷,a,ad
残酷无情,l
残联,n
残留,vn,v
残留物,n
残破,v
残缺,v
残缺不全,i
残忍,a,an
残剩,v
残雪,n
残渣,n
惭愧,an,a
惨,a
惨案,n
惨败,vn,v
惨不忍睹,i
惨绝人寰,i
惨烈,a
惨痛,a
惨遭,v
惨重,a
惨状,n
灿,nr,Ag
灿根,nr
灿华,nr
灿基,nr
灿烂,a,an
灿然,z
灿若明霞,l
灿若群星,l
灿若星河,l
灿涛,nr
灿晖,nr
苍白,a
苍苍,z
苍翠,z
苍凉,a,an
苍岭,n
苍茫,z
苍山,ns
苍天,n
苍溪,ns
苍雄,z
苍岩,ns
苍岩山,ns
苍鹰,n
苍蝇,n
苍穹,n
舱,n
舱口,n
舱门,n
仓,Ng
仓储,vn,v
仓储式,b
仓促,ad
仓房,n
仓惶,ad
仓库,n
仓麟,nr
沧海,n
沧海横流,i
沧桑,n
沧桑感,n
沧州市,ns
藏,j,v
藏胞,n
藏北,s
藏传,b
藏虎,nr
藏经洞,ns
藏剧团,n,n]nt
藏历,n
藏南,s
藏匿,v
藏区,n
藏身,v,vn
藏书,n,v,vn
藏文,nz
藏戏,n
藏医,n
藏医院,n
藏族,nz
操,nr,v,n
操办,v
操场,n
操持,v
操劳,v
操练,v
操守,n
操心,v
操之过急,i
操纵,v,vn
操作,v,vn
操作手,n
操作系统,l
操作性,n
操作者,n
糙,a
槽,Ng
曹,nr
曹娥江畔,ns
草,n,Ng
草案,n
草坝,n
草本植物,l
草场,n
草创,vn
草丛,n
草地,n
草垫,n
草垛,n
草房,ns
草黄,b
草黄色,n
草浆,n
草帘,n
草料,n
草莽,n
草帽,n
草木,n
草拟,v
草棚,n
草坪,n
草签,v
草裙舞,n
草苫,n
草圣,n
草书,n
草窝棚,n
草屋,n
草药,n
草野,n
草业,n
草原,n,n]ns
草籽,n
草莓,n
草岚子,nz
厕上,s
厕所,n
策,Ng
策动,v
策划,v,vn
策划室,n
策略,n
策略师,n
策马飞驰,l
策墨林·单增赤列,nr
策能,nr
策应,vn
侧,f,v
侧记,n
侧面,f
侧身,v
侧卧,v
侧重,vd,v
侧重点,n
册,q,Ng
册子,n
测,v
测定,vn,v
测度,v
测绘,vn,v
测绘法,n
测绘局,n]nt
测量,v,vn
测年技术,n
测评,v
测试,v,vn
测试盒,n
测试仪,n
测算,v,vn
层,q,n
层层,q
层层叠叠,z
层出不穷,i
层次,n
层次感,n
层级制,n
层面,n
层系,n
层子,n
蹭,v
蹭蹬,v
插,v
插队,v
插话,v
插件机,n
插孔,n
插曲,n
插手,v
插头,n
插图,n
插秧,v
叉车,n
叉脚,v
叉腰,v
茬,q,Ng
茶,n
茶杯,n
茶饭,n
茶饭不思,l
茶坊,n
茶歌,n
茶馆,n]ns,nz
茶话会,n
茶几,n
茶晶,n
茶客,n
茶楼,n
茶色,n
茶色素厂,n
茶社,n
茶水,n
茶汤,n
茶堂,n
茶厅,n
茶亭,n
茶桶,n
茶碗,n
茶叶,n
茶余饭后,i
茶桌,n
查,nr,v
查案,v
查办,v
查补,v
查出,v
查处,v,vn
查点,vn
查尔斯,nr
查访,v
查封,vn,v
查果拉,nz
查获,v,vn
查缉,v
查检,v
查缴,v
查结率,n
查禁,vn
查究,v
查看,v
查控,v
查扣,v
查理,nz
查理·曼德,nr
查理斯·科雷,nr
查明,v
查勤,vn
查清,v
查实,v
查私,vn
查体,v
查问,v
查询,v,vn
查询费,n
查验,v
查阅,v
查阅制,n
查找,v
查证,vn,v
察,j
察觉,vn,v
察看,v
差,a,Ng,n,v
差别,n
差别化,vn
